STATION,LAT,LON,ALT,PARAMETER,YEAR,MONTH,DAY,HOUR,AVERAGING_PERIOD,CONCENTRATION,UNITS
Station31,6.0990806,-75.6386261,1,pm25,2019,1,1,5,1,40,ug/m3
Station38,6.1684971,-75.6443558,1,pm25,2019,1,1,5,1,50,ug/m3
Station44,6.1825418,-75.5506363,1,pm25,2019,1,1,5,1,20,ug/m3
Station48,6.1523128,-75.6274872,1,pm25,2019,1,1,5,1,32,ug/m3
Station69,6.0930777,-75.637764,1,pm25,2019,1,1,5,1,69.9596,ug/m3
Station78,6.1555305,-75.6441727,1,pm25,2019,1,1,5,1,29,ug/m3
Station79,6.2218938,-75.6106033,1,pm25,2019,1,1,5,1,36.7985,ug/m3
Station80,6.2589092,-75.5482635,1,pm25,2019,1,1,5,1,24.1282,ug/m3
Station81,6.4369602,-75.3303986,1,pm25,2019,1,1,5,1,44.573,ug/m3
Station82,6.3453598,-75.5047531,1,pm25,2019,1,1,5,1,30.6947,ug/m3
Station83,6.2372341,-75.610466,1,pm25,2019,1,1,5,1,45.6314,ug/m3
Station84,6.1998701,-75.5609512,1,pm25,2019,1,1,5,1,18.2095,ug/m3
Station85,6.2778502,-75.6364288,1,pm25,2019,1,1,5,1,43.2321,ug/m3
Station86,6.2904806,-75.5555191,1,pm25,2019,1,1,5,1,96.3464,ug/m3
Station87,6.3375502,-75.5678024,1,pm25,2019,1,1,5,1,109.294,ug/m3
Station88,6.1686831,-75.5819702,1,pm25,2019,1,1,5,1,48.2291,ug/m3
Station90,6.1433334,-75.6202774,1,pm25,2019,1,1,5,1,33.7438,ug/m3
Station12,6.2525611,-75.5695801,1,pm25,2019,1,1,6,1,115,ug/m3
Station25,6.2633696,-75.5770035,1,pm25,2019,1,1,6,1,66,ug/m3
Station28,6.1856666,-75.5972061,1,pm25,2019,1,1,6,1,171,ug/m3
Station3,6.3790379,-75.4509125,1,pm25,2019,1,1,6,1,34,ug/m3
Station31,6.0990806,-75.6386261,1,pm25,2019,1,1,6,1,65,ug/m3
Station38,6.1684971,-75.6443558,1,pm25,2019,1,1,6,1,79,ug/m3
Station44,6.1825418,-75.5506363,1,pm25,2019,1,1,6,1,17,ug/m3
Station48,6.1523128,-75.6274872,1,pm25,2019,1,1,6,1,101,ug/m3
Station69,6.0930777,-75.637764,1,pm25,2019,1,1,6,1,99999,ug/m3
Station78,6.1555305,-75.6441727,1,pm25,2019,1,1,6,1,28,ug/m3
Station79,6.2218938,-75.6106033,1,pm25,2019,1,1,6,1,77.0134,ug/m3
Station80,6.2589092,-75.5482635,1,pm25,2019,1,1,6,1,57.879,ug/m3
Station81,6.4369602,-75.3303986,1,pm25,2019,1,1,6,1,93.6646,ug/m3
Station82,6.3453598,-75.5047531,1,pm25,2019,1,1,6,1,99999,ug/m3
Station83,6.2372341,-75.610466,1,pm25,2019,1,1,6,1,67.1179,ug/m3
